checkId,status,detail
"debug-I028-white",PASS,"technical facts retained"
"candidate-I028-green",PASS,"Success; errors="
"player-final-I028-green",PASS,"sections=15; leaks=None"
"affix-I028-green",PASS,"fixed=1/1; random=1/1"
"debug-I028-green",PASS,"technical facts retained"
"candidate-I028-blue",PASS,"Success; errors="
"player-final-I028-blue",PASS,"sections=15; leaks=None"
"affix-I028-blue",PASS,"fixed=1/1; random=1/1"
"debug-I028-blue",PASS,"technical facts retained"
"candidate-I028-purple",PASS,"Success; errors="
"player-final-I028-purple",PASS,"sections=15; leaks=None"
"affix-I028-purple",PASS,"fixed=1/1; random=1/1"
"debug-I028-purple",PASS,"technical facts retained"
"candidate-I028-orange",PASS,"Success; errors="
"player-final-I028-orange",PASS,"sections=15; leaks=None"
"affix-I028-orange",PASS,"fixed=1/1; random=1/1"
"debug-I028-orange",PASS,"technical facts retained"
"candidate-I029-white",PASS,"Success; errors="
"player-final-I029-white",PASS,"sections=15; leaks=None"
"affix-I029-white",PASS,"fixed=1/1; random=1/1"
"debug-I029-white",PASS,"technical facts retained"
"candidate-I029-green",PASS,"Success; errors="
"player-final-I029-green",PASS,"sections=15; leaks=None"
"affix-I029-green",PASS,"fixed=1/1; random=1/1"
"debug-I029-green",PASS,"technical facts retained"
"candidate-I029-blue",PASS,"Success; errors="
"player-final-I029-blue",PASS,"sections=15; leaks=None"
"affix-I029-blue",PASS,"fixed=1/1; random=1/1"
"debug-I029-blue",PASS,"technical facts retained"
"candidate-I029-purple",PASS,"Success; errors="
"player-final-I029-purple",PASS,"sections=15; leaks=None"
"affix-I029-purple",PASS,"fixed=1/1; random=1/1"
"debug-I029-purple",PASS,"technical facts retained"
"candidate-I029-orange",PASS,"Success; errors="
"player-final-I029-orange",PASS,"sections=15; leaks=None"
"affix-I029-orange",PASS,"fixed=1/1; random=1/1"
"debug-I029-orange",PASS,"technical facts retained"
"candidate-I030-white",PASS,"Success; errors="
"player-final-I030-white",PASS,"sections=15; leaks=None"
"affix-I030-white",PASS,"fixed=1/1; random=1/1"
"debug-I030-white",PASS,"technical facts retained"
"candidate-I030-green",PASS,"Success; errors="
"player-final-I030-green",PASS,"sections=15; leaks=None"
"affix-I030-green",PASS,"fixed=1/1; random=1/1"
"debug-I030-green",PASS,"technical facts retained"
"candidate-I030-blue",PASS,"Success; errors="
"player-final-I030-blue",PASS,"sections=15; leaks=None"
"affix-I030-blue",PASS,"fixed=1/1; random=1/1"
"debug-I030-blue",PASS,"technical facts retained"
"candidate-I030-purple",PASS,"Success; errors="
"player-final-I030-purple",PASS,"sections=15; leaks=None"
"affix-I030-purple",PASS,"fixed=1/1; random=1/1"
"debug-I030-purple",PASS,"technical facts retained"
"candidate-I030-orange",PASS,"Success; errors="
"player-final-I030-orange",PASS,"sections=15; leaks=None"
"affix-I030-orange",PASS,"fixed=1/1; random=1/1"
"debug-I030-orange",PASS,"technical facts retained"
"combination-coverage",PASS,"combos=150; rolls=150; projections=150; details=150; deterministic=150"
"ordinary-generation-excludes-I031",PASS,"ordinary=30"
"build-qualification-four-state",PASS,"None|FaMenOnly|QiLeiOnly|Dual"
"runtime-layout",PASS,"instances=6; placements=7; seeds=610000|610001|610002|610003|610005|610006"
"placed-detail-wb_i001_orange_610000",PASS,"None"
"placed-detail-wb_i001_orange_610001",PASS,"None"
"placed-detail-wb_i001_orange_610002",PASS,"None"
"placed-detail-wb_i001_orange_610003",PASS,"None"
"placed-detail-wb_i001_orange_610005",PASS,"None"
"placed-detail-wb_i001_orange_610006",PASS,"None"
"core-state-coverage",PASS,"hidden=True; locked=True; active=True; ultimateEligible=True; ultimateUnavailable=True; initialUnlit=False"
"build-state-coverage",PASS,"mainDefault=True; selected=True; payload=True; stages=True; build0=True"
"I031-complete-boundary",PASS,"system item uses explicit non-ordinary boundary"
"scene-theme-binding",PASS,"panel=True; theme=True"
"serialized-visual-tokens",PASS,"all 16 tokens checked from asset"
"final-ui-text-binding",PASS,"15 ItemDetailSectionView instances received final non-empty body text"
"runtime-scope-boundary",PASS,"scope=True; layout=True; font=True"
stat-display-600,PASS,"600/600"
