caseId,category,expected,actual,result
roll.I003@white,roll_150,PASS,PASS,PASS
projection.I003@white,projection_150,PASS,PASS,PASS
determinism.I003@white,determinism_150,"schemaId=32:ItemGeneratedInstanceSnapshot.v1
generationAlgorithmId=21:item-instance-roll-v1
generationDataStatus=63:QA_FIXTURE_ONLY|NOT_BALANCE_APPROVED|NOT_FORMAL_GENERATION_DATA
itemInstanceId=20:wb_i003_white_150011
baseItemId=4:I003
rarity=5:white
generationVersion=1:1
rootSeed=6:150011
cultivationPotentialProfileId=33:candidate_core_profile_i003_white
statId=5:break
statRawUnits=2:21
statId=8:cooldown
statRawUnits=1:7
statId=6:damage
statRawUnits=2:16
statId=8:nianCost
statRawUnits=1:6
slotId=8:fixed_01
slotKind=5:Fixed
affixId=14:affix_break_up
affixValueProfileId=30:candidate_value_affix_break_up
affixRawUnits=3:371
slotId=9:random_01
slotKind=6:Random
affixId=24:affix_cooldown_reduction
affixValueProfileId=40:candidate_value_affix_cooldown_reduction
affixRawUnits=3:355
eligibleCoreEffectId=22:candidate_core_i003_01
visibleCoreEffectId=22:candidate_core_i003_01
buildQualification=4:None
","schemaId=32:ItemGeneratedInstanceSnapshot.v1
generationAlgorithmId=21:item-instance-roll-v1
generationDataStatus=63:QA_FIXTURE_ONLY|NOT_BALANCE_APPROVED|NOT_FORMAL_GENERATION_DATA
itemInstanceId=20:wb_i003_white_150011
baseItemId=4:I003
rarity=5:white
generationVersion=1:1
rootSeed=6:150011
cultivationPotentialProfileId=33:candidate_core_profile_i003_white
statId=5:break
statRawUnits=2:21
statId=8:cooldown
statRawUnits=1:7
statId=6:damage
statRawUnits=2:16
statId=8:nianCost
statRawUnits=1:6
slotId=8:fixed_01
slotKind=5:Fixed
affixId=14:affix_break_up
affixValueProfileId=30:candidate_value_affix_break_up
affixRawUnits=3:371
slotId=9:random_01
slotKind=6:Random
affixId=24:affix_cooldown_reduction
affixValueProfileId=40:candidate_value_affix_cooldown_reduction
affixRawUnits=3:355
eligibleCoreEffectId=22:candidate_core_i003_01
visibleCoreEffectId=22:candidate_core_i003_01
buildQualification=4:None
",PASS
roll.I003@green,roll_150,PASS,PASS,PASS
projection.I003@green,projection_150,PASS,PASS,PASS
determinism.I003@green,determinism_150,"schemaId=32:ItemGeneratedInstanceSnapshot.v1
generationAlgorithmId=21:item-instance-roll-v1
generationDataStatus=63:QA_FIXTURE_ONLY|NOT_BALANCE_APPROVED|NOT_FORMAL_GENERATION_DATA
itemInstanceId=20:wb_i003_green_150012
baseItemId=4:I003
rarity=5:green
generationVersion=1:1
rootSeed=6:150012
cultivationPotentialProfileId=33:candidate_core_profile_i003_green
statId=5:break
statRawUnits=2:29
statId=8:cooldown
statRawUnits=1:6
statId=6:damage
statRawUnits=2:22
statId=8:nianCost
statRawUnits=1:6
slotId=8:fixed_01
slotKind=5:Fixed
affixId=14:affix_break_up
affixValueProfileId=30:candidate_value_affix_break_up
affixRawUnits=3:458
slotId=9:random_01
slotKind=6:Random
affixId=15:affix_damage_up
affixValueProfileId=31:candidate_value_affix_damage_up
affixRawUnits=3:533
eligibleCoreEffectId=22:candidate_core_i003_01
eligibleCoreEffectId=22:candidate_core_i003_02
visibleCoreEffectId=22:candidate_core_i003_01
visibleCoreEffectId=22:candidate_core_i003_02
buildQualification=4:None
","schemaId=32:ItemGeneratedInstanceSnapshot.v1
generationAlgorithmId=21:item-instance-roll-v1
generationDataStatus=63:QA_FIXTURE_ONLY|NOT_BALANCE_APPROVED|NOT_FORMAL_GENERATION_DATA
itemInstanceId=20:wb_i003_green_150012
baseItemId=4:I003
rarity=5:green
generationVersion=1:1
rootSeed=6:150012
cultivationPotentialProfileId=33:candidate_core_profile_i003_green
statId=5:break
statRawUnits=2:29
statId=8:cooldown
statRawUnits=1:6
statId=6:damage
statRawUnits=2:22
statId=8:nianCost
statRawUnits=1:6
slotId=8:fixed_01
slotKind=5:Fixed
affixId=14:affix_break_up
affixValueProfileId=30:candidate_value_affix_break_up
affixRawUnits=3:458
slotId=9:random_01
slotKind=6:Random
affixId=15:affix_damage_up
affixValueProfileId=31:candidate_value_affix_damage_up
affixRawUnits=3:533
eligibleCoreEffectId=22:candidate_core_i003_01
eligibleCoreEffectId=22:candidate_core_i003_02
visibleCoreEffectId=22:candidate_core_i003_01
visibleCoreEffectId=22:candidate_core_i003_02
buildQualification=4:None
",PASS
roll.I003@blue,roll_150,PASS,PASS,PASS
projection.I003@blue,projection_150,PASS,PASS,PASS
determinism.I003@blue,determinism_150,"schemaId=32:ItemGeneratedInstanceSnapshot.v1
generationAlgorithmId=21:item-instance-roll-v1
generationDataStatus=63:QA_FIXTURE_ONLY|NOT_BALANCE_APPROVED|NOT_FORMAL_GENERATION_DATA
itemInstanceId=19:wb_i003_blue_150013
baseItemId=4:I003
rarity=4:blue
generationVersion=1:1
rootSeed=6:150013
cultivationPotentialProfileId=32:candidate_core_profile_i003_blue
statId=5:break
statRawUnits=2:34
statId=8:cooldown
statRawUnits=1:6
statId=6:damage
statRawUnits=2:26
statId=8:nianCost
statRawUnits=1:6
slotId=8:fixed_01
slotKind=5:Fixed
affixId=14:affix_break_up
affixValueProfileId=30:candidate_value_affix_break_up
affixRawUnits=3:810
slotId=9:random_01
slotKind=6:Random
affixId=24:affix_cooldown_reduction
affixValueProfileId=40:candidate_value_affix_cooldown_reduction
affixRawUnits=3:864
eligibleCoreEffectId=22:candidate_core_i003_01
eligibleCoreEffectId=22:candidate_core_i003_02
eligibleCoreEffectId=22:candidate_core_i003_03
visibleCoreEffectId=22:candidate_core_i003_01
visibleCoreEffectId=22:candidate_core_i003_02
visibleCoreEffectId=22:candidate_core_i003_03
buildQualification=9:FaMenOnly
","schemaId=32:ItemGeneratedInstanceSnapshot.v1
generationAlgorithmId=21:item-instance-roll-v1
generationDataStatus=63:QA_FIXTURE_ONLY|NOT_BALANCE_APPROVED|NOT_FORMAL_GENERATION_DATA
itemInstanceId=19:wb_i003_blue_150013
baseItemId=4:I003
rarity=4:blue
generationVersion=1:1
rootSeed=6:150013
cultivationPotentialProfileId=32:candidate_core_profile_i003_blue
statId=5:break
statRawUnits=2:34
statId=8:cooldown
statRawUnits=1:6
statId=6:damage
statRawUnits=2:26
statId=8:nianCost
statRawUnits=1:6
slotId=8:fixed_01
slotKind=5:Fixed
affixId=14:affix_break_up
affixValueProfileId=30:candidate_value_affix_break_up
affixRawUnits=3:810
slotId=9:random_01
slotKind=6:Random
affixId=24:affix_cooldown_reduction
affixValueProfileId=40:candidate_value_affix_cooldown_reduction
affixRawUnits=3:864
eligibleCoreEffectId=22:candidate_core_i003_01
eligibleCoreEffectId=22:candidate_core_i003_02
eligibleCoreEffectId=22:candidate_core_i003_03
visibleCoreEffectId=22:candidate_core_i003_01
visibleCoreEffectId=22:candidate_core_i003_02
visibleCoreEffectId=22:candidate_core_i003_03
buildQualification=9:FaMenOnly
",PASS
roll.I003@purple,roll_150,PASS,PASS,PASS
projection.I003@purple,projection_150,PASS,PASS,PASS
determinism.I003@purple,determinism_150,"schemaId=32:ItemGeneratedInstanceSnapshot.v1
generationAlgorithmId=21:item-instance-roll-v1
generationDataStatus=63:QA_FIXTURE_ONLY|NOT_BALANCE_APPROVED|NOT_FORMAL_GENERATION_DATA
itemInstanceId=21:wb_i003_purple_150014
baseItemId=4:I003
rarity=6:purple
generationVersion=1:1
rootSeed=6:150014
cultivationPotentialProfileId=34:candidate_core_profile_i003_purple
statId=5:break
statRawUnits=2:38
statId=8:cooldown
statRawUnits=1:4
statId=6:damage
statRawUnits=2:27
statId=8:nianCost
statRawUnits=1:4
slotId=8:fixed_01
slotKind=5:Fixed
affixId=14:affix_break_up
affixValueProfileId=30:candidate_value_affix_break_up
affixRawUnits=4:1287
slotId=9:random_01
slotKind=6:Random
affixId=24:affix_cooldown_reduction
affixValueProfileId=40:candidate_value_affix_cooldown_reduction
affixRawUnits=3:980
eligibleCoreEffectId=22:candidate_core_i003_01
eligibleCoreEffectId=22:candidate_core_i003_02
eligibleCoreEffectId=22:candidate_core_i003_03
eligibleCoreEffectId=22:candidate_core_i003_04
visibleCoreEffectId=22:candidate_core_i003_01
visibleCoreEffectId=22:candidate_core_i003_02
visibleCoreEffectId=22:candidate_core_i003_03
visibleCoreEffectId=22:candidate_core_i003_04
buildQualification=9:FaMenOnly
","schemaId=32:ItemGeneratedInstanceSnapshot.v1
generationAlgorithmId=21:item-instance-roll-v1
generationDataStatus=63:QA_FIXTURE_ONLY|NOT_BALANCE_APPROVED|NOT_FORMAL_GENERATION_DATA
itemInstanceId=21:wb_i003_purple_150014
baseItemId=4:I003
rarity=6:purple
generationVersion=1:1
rootSeed=6:150014
cultivationPotentialProfileId=34:candidate_core_profile_i003_purple
statId=5:break
statRawUnits=2:38
statId=8:cooldown
statRawUnits=1:4
statId=6:damage
statRawUnits=2:27
statId=8:nianCost
statRawUnits=1:4
slotId=8:fixed_01
slotKind=5:Fixed
affixId=14:affix_break_up
affixValueProfileId=30:candidate_value_affix_break_up
affixRawUnits=4:1287
slotId=9:random_01
slotKind=6:Random
affixId=24:affix_cooldown_reduction
affixValueProfileId=40:candidate_value_affix_cooldown_reduction
affixRawUnits=3:980
eligibleCoreEffectId=22:candidate_core_i003_01
eligibleCoreEffectId=22:candidate_core_i003_02
eligibleCoreEffectId=22:candidate_core_i003_03
eligibleCoreEffectId=22:candidate_core_i003_04
visibleCoreEffectId=22:candidate_core_i003_01
visibleCoreEffectId=22:candidate_core_i003_02
visibleCoreEffectId=22:candidate_core_i003_03
visibleCoreEffectId=22:candidate_core_i003_04
buildQualification=9:FaMenOnly
",PASS
roll.I003@orange,roll_150,PASS,PASS,PASS
projection.I003@orange,projection_150,PASS,PASS,PASS
determinism.I003@orange,determinism_150,"schemaId=32:ItemGeneratedInstanceSnapshot.v1
generationAlgorithmId=21:item-instance-roll-v1
generationDataStatus=63:QA_FIXTURE_ONLY|NOT_BALANCE_APPROVED|NOT_FORMAL_GENERATION_DATA
itemInstanceId=21:wb_i003_orange_150015
baseItemId=4:I003
rarity=6:orange
generationVersion=1:1
rootSeed=6:150015
cultivationPotentialProfileId=34:candidate_core_profile_i003_orange
statId=5:break
statRawUnits=2:40
statId=8:cooldown
statRawUnits=1:4
statId=6:damage
statRawUnits=2:31
statId=8:nianCost
statRawUnits=1:4
slotId=8:fixed_01
slotKind=5:Fixed
affixId=14:affix_break_up
affixValueProfileId=30:candidate_value_affix_break_up
affixRawUnits=4:1228
slotId=9:random_01
slotKind=6:Random
affixId=15:affix_damage_up
affixValueProfileId=31:candidate_value_affix_damage_up
affixRawUnits=4:1284
eligibleCoreEffectId=22:candidate_core_i003_01
eligibleCoreEffectId=22:candidate_core_i003_02
eligibleCoreEffectId=22:candidate_core_i003_03
eligibleCoreEffectId=22:candidate_core_i003_04
eligibleCoreEffectId=28:candidate_core_i003_ultimate
visibleCoreEffectId=22:candidate_core_i003_01
visibleCoreEffectId=22:candidate_core_i003_02
visibleCoreEffectId=22:candidate_core_i003_03
visibleCoreEffectId=22:candidate_core_i003_04
visibleCoreEffectId=28:candidate_core_i003_ultimate
buildQualification=9:FaMenOnly
","schemaId=32:ItemGeneratedInstanceSnapshot.v1
generationAlgorithmId=21:item-instance-roll-v1
generationDataStatus=63:QA_FIXTURE_ONLY|NOT_BALANCE_APPROVED|NOT_FORMAL_GENERATION_DATA
itemInstanceId=21:wb_i003_orange_150015
baseItemId=4:I003
rarity=6:orange
generationVersion=1:1
rootSeed=6:150015
cultivationPotentialProfileId=34:candidate_core_profile_i003_orange
statId=5:break
statRawUnits=2:40
statId=8:cooldown
statRawUnits=1:4
statId=6:damage
statRawUnits=2:31
statId=8:nianCost
statRawUnits=1:4
slotId=8:fixed_01
slotKind=5:Fixed
affixId=14:affix_break_up
affixValueProfileId=30:candidate_value_affix_break_up
affixRawUnits=4:1228
slotId=9:random_01
slotKind=6:Random
affixId=15:affix_damage_up
affixValueProfileId=31:candidate_value_affix_damage_up
affixRawUnits=4:1284
eligibleCoreEffectId=22:candidate_core_i003_01
eligibleCoreEffectId=22:candidate_core_i003_02
eligibleCoreEffectId=22:candidate_core_i003_03
eligibleCoreEffectId=22:candidate_core_i003_04
eligibleCoreEffectId=28:candidate_core_i003_ultimate
visibleCoreEffectId=22:candidate_core_i003_01
visibleCoreEffectId=22:candidate_core_i003_02
visibleCoreEffectId=22:candidate_core_i003_03
visibleCoreEffectId=22:candidate_core_i003_04
visibleCoreEffectId=28:candidate_core_i003_ultimate
buildQualification=9:FaMenOnly
",PASS
roll.I004@white,roll_150,PASS,PASS,PASS
projection.I004@white,projection_150,PASS,PASS,PASS
determinism.I004@white,determinism_150,"schemaId=32:ItemGeneratedInstanceSnapshot.v1
generationAlgorithmId=21:item-instance-roll-v1
generationDataStatus=63:QA_FIXTURE_ONLY|NOT_BALANCE_APPROVED|NOT_FORMAL_GENERATION_DATA
itemInstanceId=20:wb_i004_white_150016
baseItemId=4:I004
rarity=5:white
generationVersion=1:1
rootSeed=6:150016
cultivationPotentialProfileId=33:candidate_core_profile_i004_white
statId=7:control
statRawUnits=1:2
statId=8:cooldown
statRawUnits=1:5
statId=6:damage
statRawUnits=2:11
statId=8:nianCost
statRawUnits=1:6
slotId=8:fixed_01
slotKind=5:Fixed
affixId=16:affix_control_up
affixValueProfileId=32:candidate_value_affix_control_up
affixRawUnits=1:3
slotId=9:random_01
slotKind=6:Random
affixId=21:affix_nian_efficiency
affixValueProfileId=37:candidate_value_affix_nian_efficiency
affixRawUnits=3:339
eligibleCoreEffectId=22:candidate_core_i004_01
visibleCoreEffectId=22:candidate_core_i004_01
buildQualification=4:None
","schemaId=32:ItemGeneratedInstanceSnapshot.v1
generationAlgorithmId=21:item-instance-roll-v1
generationDataStatus=63:QA_FIXTURE_ONLY|NOT_BALANCE_APPROVED|NOT_FORMAL_GENERATION_DATA
itemInstanceId=20:wb_i004_white_150016
baseItemId=4:I004
rarity=5:white
generationVersion=1:1
rootSeed=6:150016
cultivationPotentialProfileId=33:candidate_core_profile_i004_white
statId=7:control
statRawUnits=1:2
statId=8:cooldown
statRawUnits=1:5
statId=6:damage
statRawUnits=2:11
statId=8:nianCost
statRawUnits=1:6
slotId=8:fixed_01
slotKind=5:Fixed
affixId=16:affix_control_up
affixValueProfileId=32:candidate_value_affix_control_up
affixRawUnits=1:3
slotId=9:random_01
slotKind=6:Random
affixId=21:affix_nian_efficiency
affixValueProfileId=37:candidate_value_affix_nian_efficiency
affixRawUnits=3:339
eligibleCoreEffectId=22:candidate_core_i004_01
visibleCoreEffectId=22:candidate_core_i004_01
buildQualification=4:None
",PASS
roll.I004@green,roll_150,PASS,PASS,PASS
projection.I004@green,projection_150,PASS,PASS,PASS
determinism.I004@green,determinism_150,"schemaId=32:ItemGeneratedInstanceSnapshot.v1
generationAlgorithmId=21:item-instance-roll-v1
generationDataStatus=63:QA_FIXTURE_ONLY|NOT_BALANCE_APPROVED|NOT_FORMAL_GENERATION_DATA
itemInstanceId=20:wb_i004_green_150017
baseItemId=4:I004
rarity=5:green
generationVersion=1:1
rootSeed=6:150017
cultivationPotentialProfileId=33:candidate_core_profile_i004_green
statId=7:control
statRawUnits=1:3
statId=8:cooldown
statRawUnits=1:4
statId=6:damage
statRawUnits=2:17
statId=8:nianCost
statRawUnits=1:5
slotId=8:fixed_01
slotKind=5:Fixed
affixId=16:affix_control_up
affixValueProfileId=32:candidate_value_affix_control_up
affixRawUnits=1:5
slotId=9:random_01
slotKind=6:Random
affixId=21:affix_nian_efficiency
affixValueProfileId=37:candidate_value_affix_nian_efficiency
affixRawUnits=3:350
eligibleCoreEffectId=22:candidate_core_i004_01
eligibleCoreEffectId=22:candidate_core_i004_02
visibleCoreEffectId=22:candidate_core_i004_01
visibleCoreEffectId=22:candidate_core_i004_02
buildQualification=4:None
","schemaId=32:ItemGeneratedInstanceSnapshot.v1
generationAlgorithmId=21:item-instance-roll-v1
generationDataStatus=63:QA_FIXTURE_ONLY|NOT_BALANCE_APPROVED|NOT_FORMAL_GENERATION_DATA
itemInstanceId=20:wb_i004_green_150017
baseItemId=4:I004
rarity=5:green
generationVersion=1:1
rootSeed=6:150017
cultivationPotentialProfileId=33:candidate_core_profile_i004_green
statId=7:control
statRawUnits=1:3
statId=8:cooldown
statRawUnits=1:4
statId=6:damage
statRawUnits=2:17
statId=8:nianCost
statRawUnits=1:5
slotId=8:fixed_01
slotKind=5:Fixed
affixId=16:affix_control_up
affixValueProfileId=32:candidate_value_affix_control_up
affixRawUnits=1:5
slotId=9:random_01
slotKind=6:Random
affixId=21:affix_nian_efficiency
affixValueProfileId=37:candidate_value_affix_nian_efficiency
affixRawUnits=3:350
eligibleCoreEffectId=22:candidate_core_i004_01
eligibleCoreEffectId=22:candidate_core_i004_02
visibleCoreEffectId=22:candidate_core_i004_01
visibleCoreEffectId=22:candidate_core_i004_02
buildQualification=4:None
",PASS
roll.I004@blue,roll_150,PASS,PASS,PASS
projection.I004@blue,projection_150,PASS,PASS,PASS
determinism.I004@blue,determinism_150,"schemaId=32:ItemGeneratedInstanceSnapshot.v1
generationAlgorithmId=21:item-instance-roll-v1
generationDataStatus=63:QA_FIXTURE_ONLY|NOT_BALANCE_APPROVED|NOT_FORMAL_GENERATION_DATA
itemInstanceId=19:wb_i004_blue_150018
baseItemId=4:I004
rarity=4:blue
generationVersion=1:1
rootSeed=6:150018
cultivationPotentialProfileId=32:candidate_core_profile_i004_blue
statId=7:control
statRawUnits=1:6
statId=8:cooldown
statRawUnits=1:4
statId=6:damage
statRawUnits=2:22
statId=8:nianCost
statRawUnits=1:4
slotId=8:fixed_01
slotKind=5:Fixed
affixId=16:affix_control_up
affixValueProfileId=32:candidate_value_affix_control_up
affixRawUnits=1:8
slotId=9:random_01
slotKind=6:Random
affixId=24:affix_cooldown_reduction
affixValueProfileId=40:candidate_value_affix_cooldown_reduction
affixRawUnits=3:697
eligibleCoreEffectId=22:candidate_core_i004_01
eligibleCoreEffectId=22:candidate_core_i004_02
eligibleCoreEffectId=22:candidate_core_i004_03
visibleCoreEffectId=22:candidate_core_i004_01
visibleCoreEffectId=22:candidate_core_i004_02
visibleCoreEffectId=22:candidate_core_i004_03
buildQualification=4:Dual
","schemaId=32:ItemGeneratedInstanceSnapshot.v1
generationAlgorithmId=21:item-instance-roll-v1
generationDataStatus=63:QA_FIXTURE_ONLY|NOT_BALANCE_APPROVED|NOT_FORMAL_GENERATION_DATA
itemInstanceId=19:wb_i004_blue_150018
baseItemId=4:I004
rarity=4:blue
generationVersion=1:1
rootSeed=6:150018
cultivationPotentialProfileId=32:candidate_core_profile_i004_blue
statId=7:control
statRawUnits=1:6
statId=8:cooldown
statRawUnits=1:4
statId=6:damage
statRawUnits=2:22
statId=8:nianCost
statRawUnits=1:4
slotId=8:fixed_01
slotKind=5:Fixed
affixId=16:affix_control_up
affixValueProfileId=32:candidate_value_affix_control_up
affixRawUnits=1:8
slotId=9:random_01
slotKind=6:Random
affixId=24:affix_cooldown_reduction
affixValueProfileId=40:candidate_value_affix_cooldown_reduction
affixRawUnits=3:697
eligibleCoreEffectId=22:candidate_core_i004_01
eligibleCoreEffectId=22:candidate_core_i004_02
eligibleCoreEffectId=22:candidate_core_i004_03
visibleCoreEffectId=22:candidate_core_i004_01
visibleCoreEffectId=22:candidate_core_i004_02
visibleCoreEffectId=22:candidate_core_i004_03
buildQualification=4:Dual
",PASS
roll.I004@purple,roll_150,PASS,PASS,PASS
projection.I004@purple,projection_150,PASS,PASS,PASS
determinism.I004@purple,determinism_150,"schemaId=32:ItemGeneratedInstanceSnapshot.v1
generationAlgorithmId=21:item-instance-roll-v1
generationDataStatus=63:QA_FIXTURE_ONLY|NOT_BALANCE_APPROVED|NOT_FORMAL_GENERATION_DATA
itemInstanceId=21:wb_i004_purple_150019
baseItemId=4:I004
rarity=6:purple
generationVersion=1:1
rootSeed=6:150019
cultivationPotentialProfileId=34:candidate_core_profile_i004_purple
statId=7:control
statRawUnits=1:8
statId=8:cooldown
statRawUnits=1:3
statId=6:damage
statRawUnits=2:23
statId=8:nianCost
statRawUnits=1:4
slotId=8:fixed_01
slotKind=5:Fixed
affixId=16:affix_control_up
affixValueProfileId=32:candidate_value_affix_control_up
affixRawUnits=1:7
slotId=9:random_01
slotKind=6:Random
affixId=24:affix_cooldown_reduction
affixValueProfileId=40:candidate_value_affix_cooldown_reduction
affixRawUnits=3:920
eligibleCoreEffectId=22:candidate_core_i004_01
eligibleCoreEffectId=22:candidate_core_i004_02
eligibleCoreEffectId=22:candidate_core_i004_03
eligibleCoreEffectId=22:candidate_core_i004_04
visibleCoreEffectId=22:candidate_core_i004_01
visibleCoreEffectId=22:candidate_core_i004_02
visibleCoreEffectId=22:candidate_core_i004_03
visibleCoreEffectId=22:candidate_core_i004_04
buildQualification=9:FaMenOnly
","schemaId=32:ItemGeneratedInstanceSnapshot.v1
generationAlgorithmId=21:item-instance-roll-v1
generationDataStatus=63:QA_FIXTURE_ONLY|NOT_BALANCE_APPROVED|NOT_FORMAL_GENERATION_DATA
itemInstanceId=21:wb_i004_purple_150019
baseItemId=4:I004
rarity=6:purple
generationVersion=1:1
rootSeed=6:150019
cultivationPotentialProfileId=34:candidate_core_profile_i004_purple
statId=7:control
statRawUnits=1:8
statId=8:cooldown
statRawUnits=1:3
statId=6:damage
statRawUnits=2:23
statId=8:nianCost
statRawUnits=1:4
slotId=8:fixed_01
slotKind=5:Fixed
affixId=16:affix_control_up
affixValueProfileId=32:candidate_value_affix_control_up
affixRawUnits=1:7
slotId=9:random_01
slotKind=6:Random
affixId=24:affix_cooldown_reduction
affixValueProfileId=40:candidate_value_affix_cooldown_reduction
affixRawUnits=3:920
eligibleCoreEffectId=22:candidate_core_i004_01
eligibleCoreEffectId=22:candidate_core_i004_02
eligibleCoreEffectId=22:candidate_core_i004_03
eligibleCoreEffectId=22:candidate_core_i004_04
visibleCoreEffectId=22:candidate_core_i004_01
visibleCoreEffectId=22:candidate_core_i004_02
visibleCoreEffectId=22:candidate_core_i004_03
visibleCoreEffectId=22:candidate_core_i004_04
buildQualification=9:FaMenOnly
",PASS
roll.I004@orange,roll_150,PASS,PASS,PASS
projection.I004@orange,projection_150,PASS,PASS,PASS
determinism.I004@orange,determinism_150,"schemaId=32:ItemGeneratedInstanceSnapshot.v1
generationAlgorithmId=21:item-instance-roll-v1
generationDataStatus=63:QA_FIXTURE_ONLY|NOT_BALANCE_APPROVED|NOT_FORMAL_GENERATION_DATA
itemInstanceId=21:wb_i004_orange_150020
baseItemId=4:I004
rarity=6:orange
generationVersion=1:1
rootSeed=6:150020
cultivationPotentialProfileId=34:candidate_core_profile_i004_orange
statId=7:control
statRawUnits=1:9
statId=8:cooldown
statRawUnits=1:3
statId=6:damage
statRawUnits=2:25
statId=8:nianCost
statRawUnits=1:3
slotId=8:fixed_01
slotKind=5:Fixed
affixId=16:affix_control_up
affixValueProfileId=32:candidate_value_affix_control_up
affixRawUnits=1:9
slotId=9:random_01
slotKind=6:Random
affixId=21:affix_nian_efficiency
affixValueProfileId=37:candidate_value_affix_nian_efficiency
affixRawUnits=4:1725
eligibleCoreEffectId=22:candidate_core_i004_01
eligibleCoreEffectId=22:candidate_core_i004_02
eligibleCoreEffectId=22:candidate_core_i004_03
eligibleCoreEffectId=22:candidate_core_i004_04
eligibleCoreEffectId=28:candidate_core_i004_ultimate
visibleCoreEffectId=22:candidate_core_i004_01
visibleCoreEffectId=22:candidate_core_i004_02
visibleCoreEffectId=22:candidate_core_i004_03
visibleCoreEffectId=22:candidate_core_i004_04
visibleCoreEffectId=28:candidate_core_i004_ultimate
buildQualification=9:FaMenOnly
","schemaId=32:ItemGeneratedInstanceSnapshot.v1
generationAlgorithmId=21:item-instance-roll-v1
generationDataStatus=63:QA_FIXTURE_ONLY|NOT_BALANCE_APPROVED|NOT_FORMAL_GENERATION_DATA
itemInstanceId=21:wb_i004_orange_150020
baseItemId=4:I004
rarity=6:orange
generationVersion=1:1
rootSeed=6:150020
cultivationPotentialProfileId=34:candidate_core_profile_i004_orange
statId=7:control
statRawUnits=1:9
statId=8:cooldown
statRawUnits=1:3
statId=6:damage
statRawUnits=2:25
statId=8:nianCost
statRawUnits=1:3
slotId=8:fixed_01
slotKind=5:Fixed
affixId=16:affix_control_up
affixValueProfileId=32:candidate_value_affix_control_up
affixRawUnits=1:9
slotId=9:random_01
slotKind=6:Random
affixId=21:affix_nian_efficiency
affixValueProfileId=37:candidate_value_affix_nian_efficiency
affixRawUnits=4:1725
eligibleCoreEffectId=22:candidate_core_i004_01
eligibleCoreEffectId=22:candidate_core_i004_02
eligibleCoreEffectId=22:candidate_core_i004_03
eligibleCoreEffectId=22:candidate_core_i004_04
eligibleCoreEffectId=28:candidate_core_i004_ultimate
visibleCoreEffectId=22:candidate_core_i004_01
visibleCoreEffectId=22:candidate_core_i004_02
visibleCoreEffectId=22:candidate_core_i004_03
visibleCoreEffectId=22:candidate_core_i004_04
visibleCoreEffectId=28:candidate_core_i004_ultimate
buildQualification=9:FaMenOnly
",PASS
roll.I005@white,roll_150,PASS,PASS,PASS
projection.I005@white,projection_150,PASS,PASS,PASS
determinism.I005@white,determinism_150,"schemaId=32:ItemGeneratedInstanceSnapshot.v1
generationAlgorithmId=21:item-instance-roll-v1
generationDataStatus=63:QA_FIXTURE_ONLY|NOT_BALANCE_APPROVED|NOT_FORMAL_GENERATION_DATA
itemInstanceId=20:wb_i005_white_150021
baseItemId=4:I005
rarity=5:white
generationVersion=1:1
rootSeed=6:150021
cultivationPotentialProfileId=33:candidate_core_profile_i005_white
statId=5:break
statRawUnits=2:14
statId=7:control
statRawUnits=1:1
statId=8:cooldown
statRawUnits=1:5
statId=8:nianCost
statRawUnits=1:7
slotId=8:fixed_01
slotKind=5:Fixed
affixId=14:affix_break_up
affixValueProfileId=30:candidate_value_affix_break_up
affixRawUnits=3:322
slotId=9:random_01
slotKind=6:Random
affixId=21:affix_nian_efficiency
affixValueProfileId=37:candidate_value_affix_nian_efficiency
affixRawUnits=3:200
eligibleCoreEffectId=22:candidate_core_i005_01
visibleCoreEffectId=22:candidate_core_i005_01
buildQualification=4:None
","schemaId=32:ItemGeneratedInstanceSnapshot.v1
generationAlgorithmId=21:item-instance-roll-v1
generationDataStatus=63:QA_FIXTURE_ONLY|NOT_BALANCE_APPROVED|NOT_FORMAL_GENERATION_DATA
itemInstanceId=20:wb_i005_white_150021
baseItemId=4:I005
rarity=5:white
generationVersion=1:1
rootSeed=6:150021
cultivationPotentialProfileId=33:candidate_core_profile_i005_white
statId=5:break
statRawUnits=2:14
statId=7:control
statRawUnits=1:1
statId=8:cooldown
statRawUnits=1:5
statId=8:nianCost
statRawUnits=1:7
slotId=8:fixed_01
slotKind=5:Fixed
affixId=14:affix_break_up
affixValueProfileId=30:candidate_value_affix_break_up
affixRawUnits=3:322
slotId=9:random_01
slotKind=6:Random
affixId=21:affix_nian_efficiency
affixValueProfileId=37:candidate_value_affix_nian_efficiency
affixRawUnits=3:200
eligibleCoreEffectId=22:candidate_core_i005_01
visibleCoreEffectId=22:candidate_core_i005_01
buildQualification=4:None
",PASS
roll.I005@green,roll_150,PASS,PASS,PASS
projection.I005@green,projection_150,PASS,PASS,PASS
